class,armpit_left,armpit_right,elbow_left,elbow_right,hip_left,hip_right,knee_left,knee_right
8,78,83,172,162,134,48,87,85
8,56,58,168,172,92,103,38,91
8,111,106,178,175,173,5,88,79
8,72,69,178,173,133,45,93,95
8,70,67,172,177,165,11,88,80
8,70,74,180,177,122,54,100,93
8,74,73,178,178,10,170,92,93
8,80,77,170,171,50,130,90,95
8,77,76,173,174,13,166,88,96
8,78,85,159,169,53,124,80,74
8,74,75,80,152,96,83,80,81
8,59,66,172,178,6,172,99,95
8,56,61,173,176,30,151,98,97
8,71,72,172,172,158,18,87,83
8,74,77,179,179,13,170,86,79
8,66,64,178,180,91,87,94,96
8,77,81,175,174,158,80,119,81
8,69,71,172,177,90,89,82,75
8,71,71,171,170,98,86,84,83
8,85,84,175,174,107,73,86,88
8,76,73,174,171,62,117,97,96
8,80,82,177,178,134,44,71,68
8,62,64,170,167,175,5,76,89
8,74,76,179,177,173,5,95,96
8,69,68,173,173,162,19,84,91
8,62,61,172,172,118,63,87,85
8,55,58,172,179,62,116,93,101
8,90,99,177,180,172,8,82,83
8,78,86,180,179,68,111,78,79
9,40,42,159,162,134,43,175,177
9,67,63,168,162,167,14,175,179
9,62,60,176,172,46,134,167,169
9,50,47,174,178,30,142,178,172
9,63,60,160,159,22,158,176,174
9,37,36,162,159,3,174,168,173
9,48,51,162,167,130,44,170,95
9,39,52,160,172,14,165,176,177
9,31,45,121,134,55,134,102,179
9,88,86,158,154,153,28,168,169
9,36,35,159,154,145,34,180,177
9,58,62,157,167,131,45,179,177
9,59,58,176,178,46,130,172,174
9,59,58,165,165,27,150,172,177
9,63,61,178,178,41,143,170,180
9,16,75,90,118,64,112,178,176
9,22,21,142,145,148,24,153,167
9,36,35,159,154,145,34,180,177
10,162,160,160,173,117,123,164,141
10,51,165,172,154,157,155,176,100
10,32,47,173,25,134,145,165,108
10,164,33,156,166,121,134,133,171
10,180,54,152,160,149,26,121,22
10,177,26,160,165,151,127,104,153
10,38,175,178,160,146,159,178,110
10,71,153,173,162,159,78,124,166
10,157,29,26,174,152,130,179,123
10,178,27,162,175,28,15,179,107
10,173,21,170,177,152,133,128,177
10,176,18,168,167,149,131,106,177
10,30,173,170,173,133,145,166,118
10,85,146,118,133,167,12,103,103
11,35,50,128,101,173,13,148,179
11,32,41,25,45,150,31,139,143
11,46,62,131,82,168,7,142,153
11,69,66,124,104,157,21,106,173
11,55,40,159,161,32,124,139,44
11,46,42,12,22,80,179,143,105
11,57,70,102,58,70,126,97,151
11,77,77,122,127,48,138,174,166
11,68,26,110,105,4,106,4,47
11,60,79,153,79,111,76,143,94
11,49,42,102,100,24,155,134,164
11,63,68,160,158,179,23,130,177
11,58,51,146,84,70,97,125,162
11,67,65,134,103,22,168,80,114
11,58,93,86,166,75,106,145,169
11,49,39,111,131,44,121,128,95
11,30,48,92,102,178,20,42,53
11,42,49,139,164,18,172,71,75
11,79,77,152,138,155,23,180,178
11,76,60,93,86,70,106,158,156
11,90,57,70,141,16,142,2,17
11,68,78,13,72,153,26,100,96
11,154,157,160,124,86,111,82,29
11,49,73,143,83,75,108,129,123
11,91,100,77,178,5,175,159,10
11,70,30,85,118,17,128,25,49
11,43,56,124,80,31,154,172,177
11,98,91,47,102,20,163,170,147
11,52,36,94,124,9,169,59,20
11,80,104,45,117,35,139,75,103
11,60,8,149,178,76,136,62,48
11,57,93,82,166,31,157,120,119
11,40,33,176,108,162,4,72,111
11,55,38,51,101,32,170,92,118
11,86,71,133,97,160,10,141,131
11,57,75,156,84,6,169,124,138
11,30,40,36,16,91,131,80,121
11,50,68,101,53,145,14,144,151
11,111,115,139,142,119,57,180,179
11,102,94,93,84,102,77,168,178
11,102,94,60,55,74,108,55,104
11,74,82,111,106,93,87,179,169
11,84,93,69,163,23,163,167,176
11,110,107,109,119,109,72,178,178
11,45,49,98,107,131,45,84,117
11,37,48,99,87,28,158,94,135
12,60,61,175,177,74,103,179,179
12,67,69,175,179,98,69,177,173
12,46,50,179,174,125,53,158,161
12,63,61,144,168,91,92,157,160
12,66,63,169,173,53,113,179,167
12,61,67,175,172,120,62,179,176
12,46,44,177,179,28,165,165,172
12,10,38,126,139,53,115,18,131
12,51,53,171,178,57,117,168,169
12,65,64,175,166,90,89,160,166
12,84,85,103,93,56,122,176,178
12,37,44,172,175,80,98,155,156
12,44,115,10,56,127,26,148,159
12,77,75,178,174,47,126,172,177
12,57,55,170,172,153,26,166,166
12,97,98,178,179,173,2,172,168
12,78,86,178,174,28,145,162,169
12,55,59,175,175,97,83,176,172
12,82,82,175,176,128,47,164,158
12,64,64,144,147,144,28,176,152
12,82,33,42,162,68,98,173,168
12,48,49,171,163,15,152,113,176
12,65,68,177,175,168,4,163,179
12,68,51,170,135,34,56,84,169
12,48,53,180,175,71,106,164,164
12,48,51,177,173,41,138,163,162
12,63,57,178,180,85,93,175,169
12,92,91,178,178,39,144,173,167
12,58,58,174,179,62,113,171,170
12,43,27,162,121,50,131,173,160
12,97,91,178,174,155,13,175,160
12,83,85,174,172,45,132,178,170
12,63,61,176,173,49,132,169,168
12,73,69,180,176,96,89,167,157
12,77,78,180,178,105,75,176,176
12,78,74,176,176,112,69,167,173
12,71,72,177,175,98,80,174,171
12,60,70,175,179,55,127,179,176
12,65,66,179,179,68,110,175,180
12,62,65,173,179,173,7,177,177
12,66,74,179,177,34,149,178,177
12,60,57,178,178,90,79,175,162
12,25,18,143,137,142,43,160,171
12,55,49,178,171,28,150,166,166
13,84,78,167,164,103,7,73,123
13,69,73,174,164,109,67,61,55
13,121,118,178,172,166,8,118,143
13,171,155,127,162,44,134,92,94
13,79,71,157,173,57,121,66,66
13,75,63,168,169,51,126,51,53
13,91,87,179,176,60,96,124,99
13,61,53,162,172,90,113,68,61
13,85,32,166,172,16,165,47,46
13,67,70,176,180,31,147,68,70
13,44,27,158,141,47,126,93,98
13,69,64,165,159,88,86,56,52
13,83,56,172,177,25,153,69,70
13,42,57,174,175,124,48,41,35
13,57,69,179,172,125,52,51,50
13,79,65,170,172,104,44,72,42
13,78,74,176,177,61,170,114,66
13,75,63,178,177,93,84,57,53
13,70,62,174,173,64,111,45,46
13,23,43,119,142,100,77,87,85
13,59,67,175,154,96,83,42,40
13,60,10,174,56,168,136,94,79
13,62,72,150,160,123,50,45,38
13,66,43,170,158,15,171,50,56
13,73,82,170,172,43,139,86,84
13,62,57,173,167,67,109,63,70
13,82,77,156,172,167,62,53,97
13,70,64,138,168,48,129,48,50
13,79,77,174,176,12,99,77,151
13,9,26,107,179,83,109,43,51
